0.121      172.54     9.75     207.29     16.17     310.74     42.11
0.173      146.40     7.96     178.88     13.34     275.17     28.37
0.247      110.80     5.77     130.81     8.60      178.77     20.38
0.352      90.95      5.02     108.48     6.75      146.38     14.16
0.502      69.78      3.81     82.33      5.20      102.14     9.74
0.714      59.41      3.21     67.92      4.26      81.64      8.18
1.017      46.87      2.64     54.92      3.78      64.45      6.39
1.448      37.11      2.51     44.08      3.47      53.11      5.13
2.061      29.56      2.45     34.58      3.15      38.16      4.82
2.935      24.16      2.22     28.15      2.86      33.75      3.63
4.178      19.66      2.10     22.13      2.57      24.72      3.15
5.946      15.40      1.98     17.57      2.52      19.47      3.19
8.466      10.85      1.56     12.31      1.93      14.62      2.42
12.057     7.44       1.23     8.21       1.43      8.98       1.73
17.162     4.29       1.04     4.66       1.18      5.52       1.59
