0.121      167.63     9.52     212.20     15.74     376.24     68.50
0.173      137.91     7.47     169.69     12.99     236.99     30.19
0.247      109.89     5.66     122.74     7.31      171.51     23.77
0.352      92.71      4.97     106.72     7.02      114.35     17.39
0.501      70.63      3.61     79.28      4.59      79.55      10.41
0.714      61.20      3.19     67.80      3.71      71.64      6.13
1.017      46.95      2.62     53.73      3.19      54.41      4.99
1.448      37.27      2.40     43.11      3.20      47.91      4.73
2.060      29.37      2.38     34.29      3.03      36.58      3.86
2.934      24.14      2.29     27.45      2.89      28.17      3.15
4.178      19.97      2.11     22.51      2.60      23.54      2.99
5.946      15.25      1.98     17.50      2.57      17.63      2.64
8.467      10.67      1.55     11.72      1.97      12.34      2.14
12.056     7.41       1.23     8.05       1.44      8.21       1.70
17.163     4.16       1.06     4.28       1.20      4.34       1.53
