#ID	rp	wp_9.0_9.5	err_9.0_9.5	wp_9.5_.10.0	err_9.5_.10.0	wp_10.0_10.5	err_10.0_10.5	wp_10.5_11.0	err_10.5_11.0	wp_11.0_11.5	err_11.0_11.5
1	0.12	373.399	200.617	388.815	83.198	393.234	30.913	597.466	90.192	2423.422	1684.429
2	0.19	259.170	92.989	288.384	55.778	287.154	25.668	411.860	24.702	1340.480	391.143
3	0.30	221.851	69.188	228.047	40.157	223.528	14.039	267.002	23.886	746.369	123.150
4	0.48	152.048	46.861	161.172	25.446	164.613	7.819	177.249	10.115	366.864	30.737
5	0.75	112.231	32.711	111.791	14.929	113.182	3.683	129.185	5.566	241.362	21.748
6	1.20	67.752	12.318	69.407	7.387	73.073	1.938	83.692	3.573	137.289	7.388
7	1.90	42.485	6.752	45.751	3.630	49.318	0.960	57.954	2.935	98.301	3.801
8	3.01	27.063	2.678	30.453	2.027	34.459	0.776	41.691	1.673	66.697	2.229
9	4.77	16.820	1.987	20.490	0.995	24.065	0.617	29.157	1.126	45.976	1.532
10	7.55	10.066	1.942	12.326	0.888	15.995	0.983	20.199	1.041	31.164	0.951
11	11.97	5.762	0.959	6.884	0.677	9.983	0.895	12.782	0.942	18.996	0.569
12	18.97	3.637	1.183	4.021	0.539	5.171	0.673	7.316	0.618	10.485	0.414
13	30.07	2.613	0.369	2.850	0.229	3.470	0.229	4.050	0.647	5.545	0.297
14	47.66	0.486	0.448	0.532	0.463	1.306	0.922	2.619	0.762	2.473	0.213
