#r_p -23 to -22 -22 to -21 -21 to -20 -20 to -19 -19 to -18 -18 to -17
0.17 3158  1061  821.7  45.5  570.9  24.4  724.0  63.0  1623  311  3182  1439 
0.27 1300  268  542.0  24.1  433.1  17.5  570.7  51.3  1197  252  2839  1437 
0.42 875.7  135.5  339.6  12.3  305.1  14.7  390.7  39.3  852.6  203.1  2034  1218 
0.67 633.7  82.3  201.7  7.8  206.5  11.4  257.5  31.9  525.5.9  138.8  1329  909 
1.1 350.4  35.0  132.4  5.1  125.8  8.6  157.1  21.2  313.6  106.9  749.7  592.2 
1.7 164.3  18.4  83.4  3.5  82.0  6.8  95.0  17.3  165.2  61.3  385.6  296.9 
2.7 127.3  13.1  60.3  2.9  56.8  5.5  61.3  12.0  91.6  29.4  166.3  106.1 
4.2 107.0  7.5  42.2  2.6  39.6  4.8  39.3  8.2  42.1  11.5  33.4  22.9 
6.0 61.3  4.2  29.2  2.2  28.0  4.1  25.1  6.1  14.5  6.3  15.8  18.5 
10.6 35.6  3.5  18.2  1.7  17.8  2.9  14.1  3.3  9.93  3.82  −4.73  7.73 
16.9 20.7  2.5  9.74  1.21  9.30  1.68  6.97  2.42  6.43  3.32  14.5  15.0 
26.8 10.2  1.8  4.68  0.92  5.47  1.48  4.23  3.20  2.99  3.01  -5.02  7.43 
42.4 4.69  1.18  3.22  0.68  3.85  1.08  2.53  2.40  0.29  3.04  -15.6  9.6 
