#r_p -22.0 -21.5 -21.0 -20.5 -20.0 -19.5 -19.0 -18.5 -18.0
0.17 2615  491  1028  68  586.2  19.5  455.7  11.3  366.1  9.3  307.0  9.2  322.5  17.0  313.3  25.9  294.3  34.7 
0.27 1189  202  731.7  34.0  402.9  11.7  296.9  6.9  264.3  7.6  228.5  8.3  231.1  15.3  230.2  24.9  221.5  32.1 
0.42 728.0  96.3  392.6  17.1  258.7  6.7  197.0  5.1  184.0  6.6  159.3  7.2  162.4  12.8  165.4  21.1  161.4  27.6 
0.67 491.4  55.3  228.6  10.9  163.2  4.7  134.1  4.1  128.6  5.5  110.4  5.6  114.6  10.3  118.3  17.5  114.7  22.0 
1.1 272.8  23.2  144.6  6.4  105.5  3.0  89.4  3.3  84.7  4.3  72.9  4.2  75.5  7.7  79.7  13.2  75.5  16.5 
1.7 154.4  14.5  94.3  3.7  68.9  2.2  61.1  2.6  59.4  3.6  49.8  3.4  50.6  6.0  53.8  10.5  48.6  11.5 
2.7 111.5  10.4  70.5  2.7  50.2  2.1  44.0  2.3  42.9  3.3  34.6  2.9  35.0  4.7  37.4  7.8  32.4  7.7 
4.2 94.5  5.6  48.6  2.3  35.5  1.8  31.2  2.0  30.9  3.1  24.6  2.5  24.2  3.6  25.9  5.8  19.7  4.4 
6.7 56.8  3.8  33.1  1.8  24.5  1.6  21.3  1.8  21.9  2.7  16.7  2.4  15.3  2.9  17.4  4.5  10.8  2.8 
10.6 35.1  3.2  20.9  1.5  15.3  1.3  13.7  1.5  14.6  2.1  10.7  1.9  9.20  1.78  10.6  2.6  6.35  1.93 
16.9 22.0  2.2  11.6  1.2  8.54  0.94  7.65  1.07  8.24  1.32  5.73  1.28  4.11  1.29  5.31  1.42  3.62  1.34 
26.8 11.4  1.6  6.04  0.95  4.11  0.71  4.09  0.88  4.88  1.06  2.82  1.13  1.81  1.39  3.56  1.76  2.14  1.23 
42.3 5.89  1.21  3.28  0.64  2.73  0.54  3.21  0.70  3.58  0.85  1.39  0.91  0.72  1.24  0.96  1.02  0.56  1.26 

